date,currency,rate,yr,qtr,mth,wk,dte
2016-12-13,SINGAPORE DOLLAR,71.4458,2016,4,12,50,13
2016-12-13,SAUDI RIYAL,27.212,2016,4,12,50,13
2016-12-13,CHINESE YUAN,14.7781,2016,4,12,50,13
2016-12-13,AUSTRALIAN DOLLAR,76.301,2016,4,12,50,13
2016-12-14,US DOLLAR,102.0978,2016,4,12,50,14
2016-12-14,STG POUND,129.8225,2016,4,12,50,14
2016-12-14,EURO,108.4069,2016,4,12,50,14
2016-12-14,SA RAND,7.4892,2016,4,12,50,14
2016-12-14,KSH/USHS,35.0645,2016,4,12,50,14
2016-12-14,KSH/TSHS,21.3521,2016,4,12,50,14
2016-12-14,KSH/RWF,7.9694,2016,4,12,50,14
2016-12-14,KSH/BIF,16.4988,2016,4,12,50,14
2016-12-14,AE DIRHAM,27.7976,2016,4,12,50,14
2016-12-14,CANADIAN DOLLAR,77.86,2016,4,12,50,14
2016-12-14,S FRANC,100.972,2016,4,12,50,14
2016-12-14,JPY(100),88.699700000000007,2016,4,12,50,14
2016-12-14,SW KRONER,11.1562,2016,4,12,50,14
2016-12-14,NOR KRONER,12.1206,2016,4,12,50,14
2016-12-14,DAN KRONER,14.5779,2016,4,12,50,14
2016-12-14,IND RUPEE,1.5118,2016,4,12,50,14
2016-12-14,HONGKONG DOLLAR,13.1635,2016,4,12,50,14
2016-12-14,SINGAPORE DOLLAR,71.6551,2016,4,12,50,14
2016-12-14,SAUDI RIYAL,27.2206,2016,4,12,50,14
2016-12-14,CHINESE YUAN,14.7946,2016,4,12,50,14
2016-12-14,AUSTRALIAN DOLLAR,76.6908,2016,4,12,50,14
2016-12-15,US DOLLAR,102.1006,2016,4,12,50,15
2016-12-15,STG POUND,129.675,2016,4,12,50,15
2016-12-15,EURO,108.6389,2016,4,12,50,15
2016-12-15,SA RAND,7.4671,2016,4,12,50,15
2016-12-15,KSH/USHS,35.2594,2016,4,12,50,15
2016-12-15,KSH/TSHS,21.332,2016,4,12,50,15
2016-12-15,KSH/RWF,7.9692,2016,4,12,50,15
2016-12-15,KSH/BIF,16.5084,2016,4,12,50,15
2016-12-15,AE DIRHAM,27.7991,2016,4,12,50,15
2016-12-15,CANADIAN DOLLAR,77.9037,2016,4,12,50,15
2016-12-15,S FRANC,101.0997,2016,4,12,50,15
2016-12-15,JPY(100),88.8565,2016,4,12,50,15
2016-12-15,SW KRONER,11.14,2016,4,12,50,15
2016-12-15,NOR KRONER,12.0366,2016,4,12,50,15
2016-12-15,DAN KRONER,14.6159,2016,4,12,50,15
2016-12-15,IND RUPEE,1.5119,2016,4,12,50,15
2016-12-15,HONGKONG DOLLAR,13.1641,2016,4,12,50,15
2016-12-15,SINGAPORE DOLLAR,71.6948,2016,4,12,50,15
2016-12-15,SAUDI RIYAL,27.2236,2016,4,12,50,15
2016-12-15,CHINESE YUAN,14.7865,2016,4,12,50,15
2016-12-15,AUSTRALIAN DOLLAR,76.7235,2016,4,12,50,15
2016-12-16,US DOLLAR,102.1861,2016,4,12,51,16
2016-12-16,STG POUND,126.9306,2016,4,12,51,16
2016-12-16,EURO,106.5619,2016,4,12,51,16
2016-12-16,SA RAND,7.3173,2016,4,12,51,16
2016-12-16,KSH/USHS,35.181,2016,4,12,51,16
2016-12-16,KSH/TSHS,21.3435,2016,4,12,51,16
2016-12-16,KSH/RWF,7.965,2016,4,12,51,16
2016-12-16,KSH/BIF,16.4875,2016,4,12,51,16
2016-12-16,AE DIRHAM,27.8213,2016,4,12,51,16
2016-12-16,CANADIAN DOLLAR,76.6904,2016,4,12,51,16
2016-12-16,S FRANC,99.3932,2016,4,12,51,16
2016-12-16,JPY(100),86.5141,2016,4,12,51,16
2016-12-16,SW KRONER,10.8565,2016,4,12,51,16
2016-12-16,NOR KRONER,11.8051,2016,4,12,51,16
2016-12-16,DAN KRONER,14.3429,2016,4,12,51,16
2016-12-16,IND RUPEE,1.5068,2016,4,12,51,16
2016-12-16,HONGKONG DOLLAR,13.1622,2016,4,12,51,16
2016-12-16,SINGAPORE DOLLAR,70.8691,2016,4,12,51,16
2016-12-16,SAUDI RIYAL,27.2406,2016,4,12,51,16
2016-12-16,CHINESE YUAN,14.7119,2016,4,12,51,16
2016-12-16,AUSTRALIAN DOLLAR,75.2192,2016,4,12,51,16
2016-12-19,US DOLLAR,102.1978,2016,4,12,51,19
2016-12-19,STG POUND,127.5422,2016,4,12,51,19
2016-12-19,EURO,106.7253,2016,4,12,51,19
2016-12-19,SA RAND,7.3182,2016,4,12,51,19
2016-12-19,KSH/USHS,35.128,2016,4,12,51,19
2016-12-19,KSH/TSHS,21.3313,2016,4,12,51,19
2016-12-19,KSH/RWF,7.9659,2016,4,12,51,19
2016-12-19,KSH/BIF,16.3852,2016,4,12,51,19
2016-12-19,AE DIRHAM,27.8252,2016,4,12,51,19
2016-12-19,CANADIAN DOLLAR,76.6992,2016,4,12,51,19
2016-12-19,S FRANC,99.4045,2016,4,12,51,19
2016-12-19,JPY(100),86.524,2016,4,12,51,19
2016-12-19,SW KRONER,10.8577,2016,4,12,51,19
2016-12-19,NOR KRONER,11.8064,2016,4,12,51,19
2016-12-19,DAN KRONER,14.3781,2016,4,12,51,19
2016-12-19,IND RUPEE,1.507,2016,4,12,51,19
2016-12-19,HONGKONG DOLLAR,13.1624,2016,4,12,51,19
2016-12-19,SINGAPORE DOLLAR,70.6323,2016,4,12,51,19
2016-12-19,SAUDI RIYAL,27.2444,2016,4,12,51,19
2016-12-19,CHINESE YUAN,14.7156,2016,4,12,51,19
2016-12-19,AUSTRALIAN DOLLAR,74.4766,2016,4,12,51,19
2016-12-20,US DOLLAR,102.2417,2016,4,12,51,20
2016-12-20,STG POUND,126.5236,2016,4,12,51,20
2016-12-20,EURO,106.605,2016,4,12,51,20
2016-12-20,SA RAND,7.2696,2016,4,12,51,20
2016-12-20,KSH/USHS,34.9467,2016,4,12,51,20
2016-12-20,KSH/TSHS,21.3221,2016,4,12,51,20
2016-12-20,KSH/RWF,7.9627,2016,4,12,51,20
2016-12-20,KSH/BIF,16.4709,2016,4,12,51,20
2016-12-20,AE DIRHAM,27.836,2016,4,12,51,20
2016-12-20,CANADIAN DOLLAR,76.3767,2016,4,12,51,20
2016-12-20,S FRANC,99.5683,2016,4,12,51,20
2016-12-20,JPY(100),87.3003,2016,4,12,51,20
2016-12-20,SW KRONER,10.9038,2016,4,12,51,20
2016-12-20,NOR KRONER,11.7785,2016,4,12,51,20
2016-12-20,DAN KRONER,14.3407,2016,4,12,51,20
2016-12-20,IND RUPEE,1.5071,2016,4,12,51,20
2016-12-20,HONGKONG DOLLAR,13.1648,2016,4,12,51,20
2016-12-20,SINGAPORE DOLLAR,70.587,2016,4,12,51,20
2016-12-20,SAUDI RIYAL,27.2546,2016,4,12,51,20
2016-12-20,CHINESE YUAN,14.7027,2016,4,12,51,20
2016-12-20,AUSTRALIAN DOLLAR,74.161,2016,4,12,51,20
2016-12-21,US DOLLAR,102.3017,2016,4,12,51,21
2016-12-21,STG POUND,126.1858,2016,4,12,51,21
2016-12-21,EURO,106.0589,2016,4,12,51,21
2016-12-21,SA RAND,7.2734,2016,4,12,51,21
2016-12-21,KSH/USHS,34.8969,2016,4,12,51,21
2016-12-21,KSH/TSHS,21.29,2016,4,12,51,21
2016-12-21,KSH/RWF,7.9615,2016,4,12,51,21
2016-12-21,KSH/BIF,16.3714,2016,4,12,51,21
2016-12-21,AE DIRHAM,27.8523,2016,4,12,51,21
2016-12-21,CANADIAN DOLLAR,76.3331,2016,4,12,51,21
2016-12-21,S FRANC,99.1872,2016,4,12,51,21
2016-12-21,JPY(100),86.6119,2016,4,12,51,21
2016-12-21,SW KRONER,10.901,2016,4,12,51,21
2016-12-21,NOR KRONER,11.7357,2016,4,12,51,21
2016-12-21,DAN KRONER,14.2606,2016,4,12,51,21
2016-12-21,IND RUPEE,1.503,2016,4,12,51,21
2016-12-21,HONGKONG DOLLAR,13.1735,2016,4,12,51,21
2016-12-21,SINGAPORE DOLLAR,70.6772,2016,4,12,51,21
